"","Panther_ID","Panther_Name"
"1","PTHR45618","MITOCHONDRIAL UNCOUPLING PROTEIN 4"
"2","PTHR31416","TRANSMEMBRANE PROTEIN 125"
"3","PTHR47584","FAMILY NOT NAMED"
"4","PTHR31707","PECTINESTERASE"
"5","PTHR12506","TRANSCRIPTION FACTOR C3H FAMILY-RELATED"
"6","PTHR45830","SERPENTINE RECEPTOR, CLASS I"
"7","PTHR31744","CONTAINING PROTEIN 21_22, PUTATIVE, EXPRESSED-RELATED"
"8","PTHR31741","O-FUCOSYLTRANSFERASE FAMILY PROTEIN"
"9","PTHR46284","PROTEIN KINESIN LIGHT CHAIN-RELATED 1"
"10","PTHR39944","FAMILY NOT NAMED"
"11","PTHR10655","ACYL-PROTEIN THIOESTERASE 2"
"12","PTHR32332","NITRONATE MONOOXYGENASE DOMAIN-CONTAINING PROTEIN"
"13","PTHR31069","TRANSCRIPTION FACTOR, PUTATIVE (EUROFUNG)-RELATED"
"14","PTHR35358","PHOSPHOLIPASE"
"15","PTHR31769","PROTEIN, PUTATIVE-RELATED"
"16","PTHR46870","PROTEIN THYLAKOID ASSEMBLY 8-LIKE, CHLOROPLASTIC"
"17","PTHR12794","GEM-ASSOCIATED PROTEIN 2"
"18","PTHR47444","GENOME ASSEMBLY, CHROMOSOME: A03"
"19","PTHR31086","ALUMINUM-ACTIVATED MALATE TRANSPORTER 1"
"20","PTHR14154","FKBP-TYPE PEPTIDYL-PROLYL CIS-TRANS ISOMERASE"
"21","PTHR11255","DIACYLGLYCEROL KINASE ETA"
"22","PTHR31625","PHENOLIC GLUCOSIDE MALONYLTRANSFERASE 1"
"23","PTHR23105","RIBONUCLOPROTEIN"
"24","PTHR43464","JUVENILE HORMONE ACID O-METHYLTRANSFERASE"
"25","PTHR42966","BLR5971 PROTEIN"
"26","PTHR12634","SERINE_THREONINE-PROTEIN PHOSPHATASE 6 REGULATORY SUBUNIT 1"
"27","PTHR48473","TIR DOMAIN-CONTAINING PROTEIN"
"28","PTHR37516","SCA1 COMPLEX SCAFFOLD PROTEIN SCAA"
