"","UniqueSequenceName","Diamond_Hit","Diamond_Percentage_Identity","Diamond_length","Diamond_E_value","Diamond_BitScore","Diamond_qframe"
"1","SB10_PN_TRINITY_DN435_c0_g2_i3.p1","B2DCR8.1",79.2,1052,0,1688,0
"2","DP3_PD_TRINITY_DN17317_c1_g1_i1.p1","B2DCR8.1",64.4,1053,0,1396,0
"3","DP4_PN_TRINITY_DN13402_c0_g1_i2.p1","B2DCR8.1",57.3,473,1.85e-173,526,0
"4","EB4_PN_TRINITY_DN11175_c0_g1_i1.p1","B2DCR8.1",60.4,1053,0,1308,0
"5","EB4_PN_TRINITY_DN117285_c0_g1_i3.p1","BAD15111.1",80.9,392,7.19e-233,650,0
"6","EB9_PN_TRINITY_DN849_c7_g1_i2.p1","CAE1252570.1",67,97,5.91e-34,134,0
"7","EB5_PN_TRINITY_DN4926_c0_g1_i5.p1","CAE1252570.1",68.6,236,3.39e-117,353,0
"8","EB7_PN_TRINITY_DN509_c0_g1_i15.p1","XP_052833195.1",56.3,247,3.36e-93,286,0
"9","EB5_PN_TRINITY_DN5508_c0_g1_i1.p1","XP_052833195.1",56.3,247,8.3e-94,287,0
"10","EB7_PN_TRINITY_DN1515_c1_g1_i3.p1","CAE1252570.1",48.5,233,8.7e-73,239,0
"11","EB5_PN_TRINITY_DN745_c4_g1_i2.p1","ACJ22644.1",76.3,253,9.77e-141,405,0
"12","OB2_PD_TRINITY_DN67_c0_g1_i1.p1","XP_014784832.1",100,255,6.46e-188,525,0
"13","OB2_PD_TRINITY_DN11478_c0_g1_i1.p1","XP_014768493.1",100,254,3.6e-189,528,0
"14","OB2_PD_TRINITY_DN37_c0_g2_i1.p1","CAI9718204.1",87.8,255,2.28e-165,468,0
"15","OB2_PD_TRINITY_DN26_c0_g1_i1.p1","CAI9740754.1",76.1,255,7.64e-139,401,0
"16","SB11_PN_TRINITY_DN40470_c24_g1_i1.p1","B2DCR8.1",79.5,1051,0,1696,0
"17","SB2_JR_TRINITY_DN673_c0_g1_i1.p1","B2DCR8.1",49,708,7.46e-240,708,0
"18","SB3_JR_TRINITY_DN1163_c0_g1_i1.p1","B2DCR8.1",48.8,683,3.09e-227,675,0
"19","SB1_JR_TRINITY_DN2126_c0_g1_i1.p1","CAE1320665.1",86.2,391,9.36e-254,703,0
"20","SB4_JR_TRINITY_DN430_c25_g1_i1.p1","CAE1277675.1",86.7,188,2.06e-120,355,0
"21","SB4_JR_TRINITY_DN31959_c29_g1_i1.p1","XP_052833195.1",58.5,248,1.54e-96,294,0
"22","SB1_JR_TRINITY_DN63901_c19_g1_i1.p1","ACJ22644.1",87.4,253,3.66e-168,475,0
"23","DP4_PN_TRINITY_DN13484_c0_g1_i1.p1","B2DCR8.1",52.9,941,0,1013,0
